0.26	1121
0.774	1009
1.288	894
1.802	813
2.317	713
2.831	632
3.345	555
3.859	538
4.373	445
4.887	461
5.402	390
5.916	344
6.43	311
6.944	285
7.458	275
7.972	222
8.487	182
9.001	185
9.515	158
10.029	148
10.543	155
11.058	99
11.572	110
12.086	88
12.6	100
13.114	79
13.628	74
14.143	74
14.657	54
15.171	61
15.685	54
16.199	46
16.713	44
17.228	38
17.742	34
18.256	28
18.77	30
19.284	28
19.799	22
20.313	19
20.827	15
21.341	17
21.855	15
22.369	17
22.884	16
23.398	7
23.912	16
24.426	7
24.94	7
25.454	5
25.969	9
26.483	4
26.997	2
27.511	3
28.025	3
28.539	6
29.054	2
29.568	2
30.082	5
30.596	3
31.11	1
31.625	3
32.139	2
32.653	2
33.167	0
33.681	1
34.195	1
34.71	1
35.224	0
35.738	1
36.252	0
36.766	1
37.28	1
37.795	0
38.309	0
38.823	0
39.337	0
39.851	0
40.365	1
40.88	1
41.394	0
41.908	1
42.422	0
42.936	0
43.451	1
43.965	1
44.479	0
44.993	0
45.507	0
46.021	0
46.536	0
47.05	0
47.564	0
48.078	0
48.592	0
49.106	1
49.621	0
50.135	0
50.649	0
51.163	1
